
Region,Province,Url,Bank,BranchCode,Address,PostalCode
Álava,Leza,http://www.iahorro.com/oficinas/leza/caja-vital-0217.html,Caja Vital,0217,"Plaza de la Fuente, 5 de Leza.",01307
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-1014.html,la Caixa,1014,"Castillo de Fontecha, 2 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-1419.html,la Caixa,1419,"C. Eduardo Dato, 4 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-1496.html,la Caixa,1496,"C. Eduardo Dato, 4 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-1558.html,la Caixa,1558,"C. Chile, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-1701.html,la Caixa,1701,"C. Salvatierrabide, 22 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-1930.html,la Caixa,1930,"C. Portal de Villarreal, 33 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-2187.html,la Caixa,2187,"Plaza Santa Barbara, 6 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-2723.html,la Caixa,2723,"Avenida Gasteiz, 20 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-2949.html,la Caixa,2949,"C. Venezuela - Caracas, S/n de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-3850.html,la Caixa,3850,"C. Polvorin Viejo, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-3873.html,la Caixa,3873,"C. Domingo Beltran, 23-25 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-4061.html,la Caixa,4061,"C. Arana, 2 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-4994.html,la Caixa,4994,"Ricardo Buesa, 2 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-4995.html,la Caixa,4995,"Nieves Cano, 1 A de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-5444.html,la Caixa,5444,"C. Duque de Wellington, 12 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-5652.html,la Caixa,5652,"Juntas Generales, 36 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-6053.html,la Caixa,6053,"Paseo Cruz Roja, 4 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-7921.html,la Caixa,7921,"C. Independencia, 34 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-8620.html,la Caixa,8620,"C. San Antonio, 2 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/la-caixa-8816.html,la Caixa,8816,"C. San Prudencio, 6 de Vitoria-gazteiz.",01000
Álava,Salvatierra,http://www.iahorro.com/oficinas/salvatierra/la-caixa-4708.html,la Caixa,4708,"Zumalburu, 6 de Salvatierra.",01200
Álava,Amurrio,http://www.iahorro.com/oficinas/amurrio/la-caixa-4135.html,la Caixa,4135,"C. Elexondo, 15 de Amurrio.",01470
Álava,Llodio,http://www.iahorro.com/oficinas/llodio/la-caixa-2421.html,la Caixa,2421,"Avenida Zumalakarregui, 37 de Llodio.",01400
Álava,Llodio,http://www.iahorro.com/oficinas/llodio/la-caixa-5944.html,la Caixa,5944,"Avenida Zumalacarregui, 51 de Llodio.",01400
Álava,Oyon,http://www.iahorro.com/oficinas/oyon/la-caixa-4706.html,la Caixa,4706,"Avenida Navarra, 24 de Oyon.",01320
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-0701.html,BBVA,0701,"Plaza Carlos I, 1 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-0702.html,BBVA,0702,"Avenida Gazteiz, 74 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-0703.html,BBVA,0703,"Jesus Guridi, 1 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-0704.html,BBVA,0704,Venezuela Esq. Paraguay de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-0709.html,BBVA,0709,"Reyes de Navarra, 33 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-0710.html,BBVA,0710,"Heraclio Fournier, 1 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-1383.html,BBVA,1383,"Abendaño, 25 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-1629.html,BBVA,1629,"Avenida de Gazteiz, 44 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-1631.html,BBVA,1631,"Domingo Beltran, 39 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-2349.html,BBVA,2349,"Dato, 12-semisotano de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-4933.html,BBVA,4933,"Prado, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-5672.html,BBVA,5672,"Eduardo Dato, 12 Pl. 1. de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-5685.html,BBVA,5685,"Eduardo Dato, 12 Semisotano de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6749.html,BBVA,6749,"Portal de Foronda, 20 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6800.html,BBVA,6800,"Dato, 12 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6801.html,BBVA,6801,"Plaza de Bilbao, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6806.html,BBVA,6806,"Plaza Gregorio Altube, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6807.html,BBVA,6807,"Avenida Judizmendi, 22 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6808.html,BBVA,6808,"Jose Miguel Barandiaran, 6 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6809.html,BBVA,6809,"Blas de Otero, 1-3 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6873.html,BBVA,6873,"Avenida Zabalgana, 26 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bankinter-0320.html,Bankinter,0320,"Postas,37-39 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-5534.html,BBVA,5534,"Avenida de Gazteiz, 74 de Vitoria-gazteiz.",01000
